mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave': File exists
> Benchmarks for GEM3 : NIST7086_CGTACTAG_L002_R2_001
penguin
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2593087.GEM-Interleave.penguin.t64
2016/9/18 21:02:19 -- [Opening input file '/tmp/data/datasets/NIST7086_CGTACTAG_L002_R2_001.fastq']
2016/9/18 21:02:19 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave/WarmUp.2593087.GEM-Interleave.penguin.t64.sam']
2016/9/18 21:02:19 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/18 21:02:31 -- [SE::Mapping Sequences]
2016/9/18 21:02:41 -- # 100000 sequences processed
2016/9/18 21:02:41 -- # 200000 sequences processed
2016/9/18 21:02:42 -- # 300000 sequences processed
2016/9/18 21:02:42 -- # 400000 sequences processed
2016/9/18 21:02:42 -- # 500000 sequences processed
2016/9/18 21:02:42 -- # 600000 sequences processed
2016/9/18 21:02:42 -- # 700000 sequences processed
2016/9/18 21:02:42 -- # 800000 sequences processed
2016/9/18 21:02:42 -- # 900000 sequences processed
2016/9/18 21:02:42 -- # 1000000 sequences processed
2016/9/18 21:02:42 -- # 1100000 sequences processed
2016/9/18 21:02:43 -- # 1200000 sequences processed
2016/9/18 21:02:43 -- # 1300000 sequences processed
2016/9/18 21:02:43 -- # 1400000 sequences processed
2016/9/18 21:02:43 -- # 1500000 sequences processed
2016/9/18 21:02:43 -- # 1600000 sequences processed
2016/9/18 21:02:43 -- # 1700000 sequences processed
2016/9/18 21:02:43 -- # 1800000 sequences processed
2016/9/18 21:02:43 -- # 1900000 sequences processed
2016/9/18 21:02:43 -- # 2000000 sequences processed
2016/9/18 21:02:43 -- # 2100000 sequences processed
2016/9/18 21:02:43 -- # 2200000 sequences processed
2016/9/18 21:02:43 -- # 2300000 sequences processed
2016/9/18 21:02:43 -- # 2400000 sequences processed
2016/9/18 21:02:43 -- # 2500000 sequences processed
2016/9/18 21:02:43 -- # 2600000 sequences processed
2016/9/18 21:02:43 -- # 2700000 sequences processed
2016/9/18 21:02:43 -- # 2800000 sequences processed
2016/9/18 21:02:43 -- # 2900000 sequences processed
2016/9/18 21:02:44 -- # 3000000 sequences processed
2016/9/18 21:02:44 -- # 3100000 sequences processed
2016/9/18 21:02:44 -- # 3200000 sequences processed
2016/9/18 21:02:44 -- # 3300000 sequences processed
2016/9/18 21:02:44 -- # 3400000 sequences processed
2016/9/18 21:02:44 -- # 3500000 sequences processed
2016/9/18 21:02:44 -- # 3600000 sequences processed
2016/9/18 21:02:44 -- # 3700000 sequences processed
2016/9/18 21:02:44 -- # 3800000 sequences processed
2016/9/18 21:02:44 -- # 3900000 sequences processed
2016/9/18 21:02:44 -- # 4000000 sequences processed
2016/9/18 21:02:44 -- # 4100000 sequences processed
2016/9/18 21:02:44 -- # 4200000 sequences processed
2016/9/18 21:02:44 -- # 4300000 sequences processed
2016/9/18 21:02:44 -- # 4400000 sequences processed
2016/9/18 21:02:44 -- # 4500000 sequences processed
2016/9/18 21:02:44 -- # 4600000 sequences processed
2016/9/18 21:02:44 -- # 4700000 sequences processed
2016/9/18 21:02:44 -- # 4800000 sequences processed
2016/9/18 21:02:44 -- # 4900000 sequences processed
2016/9/18 21:02:44 -- # 5000000 sequences processed
2016/9/18 21:02:44 -- # 5100000 sequences processed
2016/9/18 21:02:44 -- # 5200000 sequences processed
2016/9/18 21:02:45 -- # 5300000 sequences processed
2016/9/18 21:02:45 -- # 5400000 sequences processed
2016/9/18 21:02:45 -- # 5500000 sequences processed
2016/9/18 21:02:45 -- # 5600000 sequences processed
2016/9/18 21:02:45 -- # 5700000 sequences processed
2016/9/18 21:02:45 -- # 5800000 sequences processed
2016/9/18 21:02:45 -- # 5900000 sequences processed
2016/9/18 21:02:45 -- # 6000000 sequences processed
2016/9/18 21:02:45 -- # 6100000 sequences processed
2016/9/18 21:02:46 -- # 6200000 sequences processed
2016/9/18 21:02:46 -- # 6300000 sequences processed
2016/9/18 21:02:49 -- # 6400000 sequences processed
2016/9/18 21:02:50 -- # 6500000 sequences processed
2016/9/18 21:02:50 -- # 6600000 sequences processed
2016/9/18 21:02:50 -- # 6700000 sequences processed
2016/9/18 21:02:50 -- # 6800000 sequences processed
2016/9/18 21:02:50 -- # 6900000 sequences processed
2016/9/18 21:02:50 -- # 7000000 sequences processed
2016/9/18 21:02:50 -- # 7100000 sequences processed
2016/9/18 21:02:50 -- # 7200000 sequences processed
2016/9/18 21:02:50 -- # 7300000 sequences processed
2016/9/18 21:02:51 -- # 7400000 sequences processed
2016/9/18 21:02:51 -- # 7500000 sequences processed
2016/9/18 21:02:51 -- # 7600000 sequences processed
2016/9/18 21:02:51 -- # 7700000 sequences processed
