mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Scalability': File exists
> Benchmarks for GEM3 : NIST7086_CGTACTAG_L002_R2_001
catwoman
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2592655.GEM-Scalability.catwoman.t64
2016/9/16 10:32:42 -- [Opening input file '/tmp/data/datasets/NIST7086_CGTACTAG_L002_R2_001.fastq']
2016/9/16 10:32:42 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Scalability/WarmUp.2592655.GEM-Scalability.catwoman.t64.sam']
2016/9/16 10:32:42 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/16 10:33:41 -- [SE::Mapping Sequences]
2016/9/16 10:33:51 -- # 100000 sequences processed
2016/9/16 10:33:51 -- # 200000 sequences processed
2016/9/16 10:33:51 -- # 300000 sequences processed
2016/9/16 10:33:51 -- # 400000 sequences processed
2016/9/16 10:33:51 -- # 500000 sequences processed
2016/9/16 10:33:52 -- # 600000 sequences processed
2016/9/16 10:33:52 -- # 700000 sequences processed
2016/9/16 10:33:52 -- # 800000 sequences processed
2016/9/16 10:33:53 -- # 900000 sequences processed
2016/9/16 10:33:53 -- # 1000000 sequences processed
2016/9/16 10:33:53 -- # 1100000 sequences processed
2016/9/16 10:33:53 -- # 1200000 sequences processed
2016/9/16 10:33:53 -- # 1300000 sequences processed
2016/9/16 10:33:53 -- # 1400000 sequences processed
2016/9/16 10:33:53 -- # 1500000 sequences processed
2016/9/16 10:33:53 -- # 1600000 sequences processed
2016/9/16 10:33:55 -- # 1700000 sequences processed
2016/9/16 10:33:55 -- # 1800000 sequences processed
2016/9/16 10:33:55 -- # 1900000 sequences processed
2016/9/16 10:33:55 -- # 2000000 sequences processed
2016/9/16 10:33:55 -- # 2100000 sequences processed
2016/9/16 10:33:55 -- # 2200000 sequences processed
2016/9/16 10:33:55 -- # 2300000 sequences processed
2016/9/16 10:33:55 -- # 2400000 sequences processed
2016/9/16 10:33:55 -- # 2500000 sequences processed
2016/9/16 10:33:55 -- # 2600000 sequences processed
2016/9/16 10:33:56 -- # 2700000 sequences processed
2016/9/16 10:33:56 -- # 2800000 sequences processed
2016/9/16 10:33:56 -- # 2900000 sequences processed
2016/9/16 10:33:56 -- # 3000000 sequences processed
2016/9/16 10:33:56 -- # 3100000 sequences processed
2016/9/16 10:33:56 -- # 3200000 sequences processed
2016/9/16 10:33:56 -- # 3300000 sequences processed
2016/9/16 10:33:56 -- # 3400000 sequences processed
2016/9/16 10:33:56 -- # 3500000 sequences processed
2016/9/16 10:33:56 -- # 3600000 sequences processed
2016/9/16 10:33:56 -- # 3700000 sequences processed
2016/9/16 10:33:56 -- # 3800000 sequences processed
2016/9/16 10:33:56 -- # 3900000 sequences processed
2016/9/16 10:33:56 -- # 4000000 sequences processed
2016/9/16 10:33:56 -- # 4100000 sequences processed
2016/9/16 10:33:56 -- # 4200000 sequences processed
2016/9/16 10:33:56 -- # 4300000 sequences processed
2016/9/16 10:33:56 -- # 4400000 sequences processed
2016/9/16 10:33:56 -- # 4500000 sequences processed
2016/9/16 10:33:56 -- # 4600000 sequences processed
2016/9/16 10:33:56 -- # 4700000 sequences processed
2016/9/16 10:33:56 -- # 4800000 sequences processed
2016/9/16 10:33:56 -- # 4900000 sequences processed
2016/9/16 10:33:56 -- # 5000000 sequences processed
2016/9/16 10:33:56 -- # 5100000 sequences processed
2016/9/16 10:33:56 -- # 5200000 sequences processed
2016/9/16 10:33:56 -- # 5300000 sequences processed
2016/9/16 10:33:56 -- # 5400000 sequences processed
2016/9/16 10:33:56 -- # 5500000 sequences processed
2016/9/16 10:33:58 -- # 5600000 sequences processed
2016/9/16 10:33:59 -- # 5700000 sequences processed
2016/9/16 10:33:59 -- # 5800000 sequences processed
2016/9/16 10:33:59 -- # 5900000 sequences processed
2016/9/16 10:33:59 -- # 6000000 sequences processed
2016/9/16 10:33:59 -- # 6100000 sequences processed
2016/9/16 10:33:59 -- # 6200000 sequences processed
2016/9/16 10:34:00 -- # 6300000 sequences processed
2016/9/16 10:34:00 -- # 6400000 sequences processed
2016/9/16 10:34:00 -- # 6500000 sequences processed
2016/9/16 10:34:00 -- # 6600000 sequences processed
2016/9/16 10:34:00 -- # 6700000 sequences processed
2016/9/16 10:34:00 -- # 6800000 sequences processed
2016/9/16 10:34:01 -- # 6900000 sequences processed
2016/9/16 10:34:01 -- # 7000000 sequences processed
2016/9/16 10:34:01 -- # 7100000 sequences processed
2016/9/16 10:34:03 -- # 7200000 sequences processed
2016/9/16 10:34:03 -- # 7300000 sequences processed
2016/9/16 10:34:03 -- # 7400000 sequences processed
2016/9/16 10:34:03 -- # 7500000 sequences processed
2016/9/16 10:34:03 -- # 7600000 sequences processed
2016/9/16 10:34:03 -- # 7700000 sequences processed
2016/9/16 10:34:03 -- # 7800000 sequences processed
2016/9/16 10:34:04 -- # 7900000 sequences processed
2016/9/16 10:34:07 -- # 8000000 sequences processed
2016/9/16 10:34:07 -- # 8100000 sequences processed
2016/9/16 10:34:07 -- # 8200000 sequences processed
2016/9/16 10:34:07 -- # 8300000 sequences processed
2016/9/16 10:34:07 -- # 8400000 sequences processed
2016/9/16 10:34:07 -- # 8500000 sequences processed
2016/9/16 10:34:07 -- # 8600000 sequences processed
2016/9/16 10:34:07 -- # 8700000 sequences processed
2016/9/16 10:34:07 -- # 8800000 sequences processed
2016/9/16 10:34:07 -- # 8900000 sequences processed
2016/9/16 10:34:07 -- # 9000000 sequences processed
2016/9/16 10:34:07 -- # 9100000 sequences processed
2016/9/16 10:34:08 -- # 9200000 sequences processed
2016/9/16 10:34:08 -- # 9300000 sequences processed
2016/9/16 10:34:08 -- # 9400000 sequences processed
2016/9/16 10:34:08 -- # 9500000 sequences processed
2016/9/16 10:34:08 -- # 9600000 sequences processed
2016/9/16 10:34:08 -- # 9700000 sequences processed
2016/9/16 10:34:08 -- # 9800000 sequences processed
2016/9/16 10:34:08 -- # 9900000 sequences processed
2016/9/16 10:34:08 -- # 10000000 sequences processed
2016/9/16 10:34:08 -- # 10100000 sequences processed
2016/9/16 10:34:08 -- # 10200000 sequences processed
2016/9/16 10:34:08 -- # 10300000 sequences processed
2016/9/16 10:34:08 -- # 10400000 sequences processed
2016/9/16 10:34:08 -- # 10500000 sequences processed
2016/9/16 10:34:08 -- # 10600000 sequences processed
2016/9/16 10:34:08 -- # 10700000 sequences processed
2016/9/16 10:34:08 -- # 10800000 sequences processed
2016/9/16 10:34:08 -- # 10900000 sequences processed
2016/9/16 10:34:08 -- # 11000000 sequences processed
2016/9/16 10:34:09 -- # 11100000 sequences processed
2016/9/16 10:34:09 -- # 11200000 sequences processed
2016/9/16 10:34:09 -- # 11300000 sequences processed
2016/9/16 10:34:09 -- # 11400000 sequences processed
2016/9/16 10:34:09 -- # 11500000 sequences processed
2016/9/16 10:34:09 -- # 11600000 sequences processed
2016/9/16 10:34:09 -- # 11700000 sequences processed
2016/9/16 10:34:09 -- # 11800000 sequences processed
2016/9/16 10:34:09 -- # 11900000 sequences processed
2016/9/16 10:34:09 -- # 12000000 sequences processed
2016/9/16 10:34:09 -- # 12100000 sequences processed
2016/9/16 10:34:09 -- # 12200000 sequences processed
2016/9/16 10:34:09 -- # 12300000 sequences processed
2016/9/16 10:34:09 -- # 12400000 sequences processed
2016/9/16 10:34:09 -- # 12500000 sequences processed
2016/9/16 10:34:10 -- # 12600000 sequences processed
2016/9/16 10:34:17 -- # 12700000 sequences processed
