mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave': File exists
> Benchmarks for GEM3 : gcat_set_039_1
batman
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2595646.GEM-Interleave.batman.t64
2016/9/28 19:47:08 -- [Opening input file '/tmp/data/datasets/gcat_set_039_1.fastq']
2016/9/28 19:47:08 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave/WarmUp.2595646.GEM-Interleave.batman.t64.sam']
2016/9/28 19:47:08 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/28 19:48:52 -- [SE::Mapping Sequences]
2016/9/28 19:49:10 -- # 100000 sequences processed
2016/9/28 19:49:10 -- # 200000 sequences processed
2016/9/28 19:49:10 -- # 300000 sequences processed
2016/9/28 19:49:11 -- # 400000 sequences processed
2016/9/28 19:49:11 -- # 500000 sequences processed
2016/9/28 19:49:11 -- # 600000 sequences processed
2016/9/28 19:49:11 -- # 700000 sequences processed
2016/9/28 19:49:11 -- # 800000 sequences processed
2016/9/28 19:49:11 -- # 900000 sequences processed
2016/9/28 19:49:11 -- # 1000000 sequences processed
2016/9/28 19:49:11 -- # 1100000 sequences processed
2016/9/28 19:49:11 -- # 1200000 sequences processed
2016/9/28 19:49:11 -- # 1300000 sequences processed
2016/9/28 19:49:11 -- # 1400000 sequences processed
2016/9/28 19:49:11 -- # 1500000 sequences processed
2016/9/28 19:49:11 -- # 1600000 sequences processed
2016/9/28 19:49:11 -- # 1700000 sequences processed
2016/9/28 19:49:11 -- # 1800000 sequences processed
2016/9/28 19:49:11 -- # 1900000 sequences processed
2016/9/28 19:49:11 -- # 2000000 sequences processed
2016/9/28 19:49:11 -- # 2100000 sequences processed
2016/9/28 19:49:11 -- # 2200000 sequences processed
2016/9/28 19:49:11 -- # 2300000 sequences processed
2016/9/28 19:49:11 -- # 2400000 sequences processed
2016/9/28 19:49:11 -- # 2500000 sequences processed
2016/9/28 19:49:11 -- # 2600000 sequences processed
2016/9/28 19:49:11 -- # 2700000 sequences processed
2016/9/28 19:49:11 -- # 2800000 sequences processed
2016/9/28 19:49:11 -- # 2900000 sequences processed
2016/9/28 19:49:11 -- # 3000000 sequences processed
2016/9/28 19:49:11 -- # 3100000 sequences processed
2016/9/28 19:49:11 -- # 3200000 sequences processed
2016/9/28 19:49:11 -- # 3300000 sequences processed
2016/9/28 19:49:11 -- # 3400000 sequences processed
2016/9/28 19:49:11 -- # 3500000 sequences processed
2016/9/28 19:49:11 -- # 3600000 sequences processed
2016/9/28 19:49:11 -- # 3700000 sequences processed
2016/9/28 19:49:11 -- # 3800000 sequences processed
2016/9/28 19:49:11 -- # 3900000 sequences processed
2016/9/28 19:49:11 -- # 4000000 sequences processed
2016/9/28 19:49:11 -- # 4100000 sequences processed
2016/9/28 19:49:11 -- # 4200000 sequences processed
2016/9/28 19:49:11 -- # 4300000 sequences processed
2016/9/28 19:49:11 -- # 4400000 sequences processed
2016/9/28 19:49:12 -- # 4500000 sequences processed
2016/9/28 19:49:12 -- # 4600000 sequences processed
2016/9/28 19:49:12 -- # 4700000 sequences processed
2016/9/28 19:49:12 -- # 4800000 sequences processed
2016/9/28 19:49:12 -- # 4900000 sequences processed
2016/9/28 19:49:12 -- # 5000000 sequences processed
2016/9/28 19:49:12 -- # 5100000 sequences processed
2016/9/28 19:49:12 -- # 5200000 sequences processed
2016/9/28 19:49:12 -- # 5300000 sequences processed
2016/9/28 19:49:12 -- # 5400000 sequences processed
2016/9/28 19:49:12 -- # 5500000 sequences processed
2016/9/28 19:49:12 -- # 5600000 sequences processed
2016/9/28 19:49:12 -- # 5700000 sequences processed
2016/9/28 19:49:12 -- # 5800000 sequences processed
2016/9/28 19:49:12 -- # 5900000 sequences processed
2016/9/28 19:49:12 -- # 6000000 sequences processed
2016/9/28 19:49:13 -- # 6100000 sequences processed
2016/9/28 19:49:13 -- # 6200000 sequences processed
2016/9/28 19:49:15 -- # 6300000 sequences processed
2016/9/28 19:49:17 -- # 6400000 sequences processed
