mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave': File exists
> Benchmarks for GEM3 : NIST7086_CGTACTAG_L002_R2_001
catwoman
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2593079.GEM-Interleave.catwoman.t64
2016/9/17 18:41:17 -- [Opening input file '/tmp/data/datasets/NIST7086_CGTACTAG_L002_R2_001.fastq']
2016/9/17 18:41:17 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave/WarmUp.2593079.GEM-Interleave.catwoman.t64.sam']
2016/9/17 18:41:17 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/17 18:42:18 -- [SE::Mapping Sequences]
2016/9/17 18:42:29 -- # 100000 sequences processed
2016/9/17 18:42:29 -- # 200000 sequences processed
2016/9/17 18:42:30 -- # 300000 sequences processed
2016/9/17 18:42:30 -- # 400000 sequences processed
2016/9/17 18:42:30 -- # 500000 sequences processed
2016/9/17 18:42:30 -- # 600000 sequences processed
2016/9/17 18:42:30 -- # 700000 sequences processed
2016/9/17 18:42:30 -- # 800000 sequences processed
2016/9/17 18:42:30 -- # 900000 sequences processed
2016/9/17 18:42:30 -- # 1000000 sequences processed
2016/9/17 18:42:30 -- # 1100000 sequences processed
2016/9/17 18:42:30 -- # 1200000 sequences processed
2016/9/17 18:42:30 -- # 1300000 sequences processed
2016/9/17 18:42:30 -- # 1400000 sequences processed
2016/9/17 18:42:30 -- # 1500000 sequences processed
2016/9/17 18:42:30 -- # 1600000 sequences processed
2016/9/17 18:42:30 -- # 1700000 sequences processed
2016/9/17 18:42:30 -- # 1800000 sequences processed
2016/9/17 18:42:30 -- # 1900000 sequences processed
2016/9/17 18:42:30 -- # 2000000 sequences processed
2016/9/17 18:42:30 -- # 2100000 sequences processed
2016/9/17 18:42:30 -- # 2200000 sequences processed
2016/9/17 18:42:30 -- # 2300000 sequences processed
2016/9/17 18:42:30 -- # 2400000 sequences processed
2016/9/17 18:42:30 -- # 2500000 sequences processed
2016/9/17 18:42:30 -- # 2600000 sequences processed
2016/9/17 18:42:30 -- # 2700000 sequences processed
2016/9/17 18:42:30 -- # 2800000 sequences processed
2016/9/17 18:42:30 -- # 2900000 sequences processed
2016/9/17 18:42:30 -- # 3000000 sequences processed
2016/9/17 18:42:30 -- # 3100000 sequences processed
2016/9/17 18:42:30 -- # 3200000 sequences processed
2016/9/17 18:42:30 -- # 3300000 sequences processed
2016/9/17 18:42:30 -- # 3400000 sequences processed
2016/9/17 18:42:30 -- # 3500000 sequences processed
2016/9/17 18:42:30 -- # 3600000 sequences processed
2016/9/17 18:42:30 -- # 3700000 sequences processed
2016/9/17 18:42:30 -- # 3800000 sequences processed
2016/9/17 18:42:30 -- # 3900000 sequences processed
2016/9/17 18:42:30 -- # 4000000 sequences processed
2016/9/17 18:42:30 -- # 4100000 sequences processed
2016/9/17 18:42:30 -- # 4200000 sequences processed
2016/9/17 18:42:30 -- # 4300000 sequences processed
2016/9/17 18:42:30 -- # 4400000 sequences processed
2016/9/17 18:42:31 -- # 4500000 sequences processed
2016/9/17 18:42:31 -- # 4600000 sequences processed
2016/9/17 18:42:31 -- # 4700000 sequences processed
2016/9/17 18:42:31 -- # 4800000 sequences processed
2016/9/17 18:42:31 -- # 4900000 sequences processed
2016/9/17 18:42:31 -- # 5000000 sequences processed
2016/9/17 18:42:31 -- # 5100000 sequences processed
2016/9/17 18:42:31 -- # 5200000 sequences processed
2016/9/17 18:42:31 -- # 5300000 sequences processed
2016/9/17 18:42:31 -- # 5400000 sequences processed
2016/9/17 18:42:32 -- # 5500000 sequences processed
2016/9/17 18:42:32 -- # 5600000 sequences processed
2016/9/17 18:42:32 -- # 5700000 sequences processed
2016/9/17 18:42:32 -- # 5800000 sequences processed
2016/9/17 18:42:32 -- # 5900000 sequences processed
2016/9/17 18:42:32 -- # 6000000 sequences processed
2016/9/17 18:42:32 -- # 6100000 sequences processed
2016/9/17 18:42:33 -- # 6200000 sequences processed
2016/9/17 18:42:34 -- # 6300000 sequences processed
2016/9/17 18:42:36 -- # 6400000 sequences processed
2016/9/17 18:42:38 -- # 6500000 sequences processed
2016/9/17 18:42:38 -- # 6600000 sequences processed
2016/9/17 18:42:39 -- # 6700000 sequences processed
2016/9/17 18:42:39 -- # 6800000 sequences processed
2016/9/17 18:42:39 -- # 6900000 sequences processed
2016/9/17 18:42:39 -- # 7000000 sequences processed
2016/9/17 18:42:39 -- # 7100000 sequences processed
2016/9/17 18:42:39 -- # 7200000 sequences processed
2016/9/17 18:42:39 -- # 7300000 sequences processed
2016/9/17 18:42:39 -- # 7400000 sequences processed
2016/9/17 18:42:39 -- # 7500000 sequences processed
2016/9/17 18:42:39 -- # 7600000 sequences processed
2016/9/17 18:42:39 -- # 7700000 sequences processed
2016/9/17 18:42:39 -- # 7800000 sequences processed
2016/9/17 18:42:39 -- # 7900000 sequences processed
2016/9/17 18:42:39 -- # 8000000 sequences processed
2016/9/17 18:42:39 -- # 8100000 sequences processed
2016/9/17 18:42:39 -- # 8200000 sequences processed
2016/9/17 18:42:39 -- # 8300000 sequences processed
2016/9/17 18:42:39 -- # 8400000 sequences processed
2016/9/17 18:42:39 -- # 8500000 sequences processed
2016/9/17 18:42:39 -- # 8600000 sequences processed
2016/9/17 18:42:39 -- # 8700000 sequences processed
2016/9/17 18:42:39 -- # 8800000 sequences processed
2016/9/17 18:42:39 -- # 8900000 sequences processed
2016/9/17 18:42:40 -- # 9000000 sequences processed
2016/9/17 18:42:40 -- # 9100000 sequences processed
2016/9/17 18:42:40 -- # 9200000 sequences processed
2016/9/17 18:42:40 -- # 9300000 sequences processed
2016/9/17 18:42:40 -- # 9400000 sequences processed
2016/9/17 18:42:40 -- # 9500000 sequences processed
2016/9/17 18:42:40 -- # 9600000 sequences processed
2016/9/17 18:42:40 -- # 9700000 sequences processed
2016/9/17 18:42:40 -- # 9800000 sequences processed
2016/9/17 18:42:40 -- # 9900000 sequences processed
2016/9/17 18:42:40 -- # 10000000 sequences processed
2016/9/17 18:42:40 -- # 10100000 sequences processed
2016/9/17 18:42:40 -- # 10200000 sequences processed
2016/9/17 18:42:40 -- # 10300000 sequences processed
2016/9/17 18:42:40 -- # 10400000 sequences processed
2016/9/17 18:42:40 -- # 10500000 sequences processed
2016/9/17 18:42:40 -- # 10600000 sequences processed
2016/9/17 18:42:40 -- # 10700000 sequences processed
2016/9/17 18:42:40 -- # 10800000 sequences processed
2016/9/17 18:42:40 -- # 10900000 sequences processed
2016/9/17 18:42:40 -- # 11000000 sequences processed
2016/9/17 18:42:40 -- # 11100000 sequences processed
2016/9/17 18:42:41 -- # 11200000 sequences processed
2016/9/17 18:42:41 -- # 11300000 sequences processed
2016/9/17 18:42:41 -- # 11400000 sequences processed
2016/9/17 18:42:41 -- # 11500000 sequences processed
2016/9/17 18:42:41 -- # 11600000 sequences processed
2016/9/17 18:42:41 -- # 11700000 sequences processed
2016/9/17 18:42:42 -- # 11800000 sequences processed
2016/9/17 18:42:42 -- # 11900000 sequences processed
2016/9/17 18:42:42 -- # 12000000 sequences processed
2016/9/17 18:42:42 -- # 12100000 sequences processed
2016/9/17 18:42:42 -- # 12200000 sequences processed
2016/9/17 18:42:42 -- # 12300000 sequences processed
2016/9/17 18:42:42 -- # 12400000 sequences processed
2016/9/17 18:42:42 -- # 12500000 sequences processed
2016/9/17 18:42:43 -- # 12600000 sequences processed
2016/9/17 18:42:43 -- # 12700000 sequences processed
