mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Scalability': File exists
> Benchmarks for GEM3 : gcat_set_039_1
catwoman
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2595811.GEM-Scalability.catwoman.t64
2016/9/28 08:05:37 -- [Opening input file '/tmp/data/datasets/gcat_set_039_1.fastq']
2016/9/28 08:05:37 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Scalability/WarmUp.2595811.GEM-Scalability.catwoman.t64.sam']
2016/9/28 08:05:37 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/28 08:05:54 -- [SE::Mapping Sequences]
2016/9/28 08:06:04 -- # 100000 sequences processed
2016/9/28 08:06:04 -- # 200000 sequences processed
2016/9/28 08:06:04 -- # 300000 sequences processed
2016/9/28 08:06:04 -- # 400000 sequences processed
2016/9/28 08:06:04 -- # 500000 sequences processed
2016/9/28 08:06:04 -- # 600000 sequences processed
2016/9/28 08:06:05 -- # 700000 sequences processed
2016/9/28 08:06:05 -- # 800000 sequences processed
2016/9/28 08:06:05 -- # 900000 sequences processed
2016/9/28 08:06:05 -- # 1000000 sequences processed
2016/9/28 08:06:05 -- # 1100000 sequences processed
2016/9/28 08:06:06 -- # 1200000 sequences processed
2016/9/28 08:06:06 -- # 1300000 sequences processed
2016/9/28 08:06:06 -- # 1400000 sequences processed
2016/9/28 08:06:06 -- # 1500000 sequences processed
2016/9/28 08:06:06 -- # 1600000 sequences processed
2016/9/28 08:06:06 -- # 1700000 sequences processed
2016/9/28 08:06:06 -- # 1800000 sequences processed
2016/9/28 08:06:06 -- # 1900000 sequences processed
2016/9/28 08:06:06 -- # 2000000 sequences processed
2016/9/28 08:06:07 -- # 2100000 sequences processed
2016/9/28 08:06:07 -- # 2200000 sequences processed
2016/9/28 08:06:07 -- # 2300000 sequences processed
2016/9/28 08:06:07 -- # 2400000 sequences processed
2016/9/28 08:06:07 -- # 2500000 sequences processed
2016/9/28 08:06:07 -- # 2600000 sequences processed
2016/9/28 08:06:07 -- # 2700000 sequences processed
2016/9/28 08:06:07 -- # 2800000 sequences processed
2016/9/28 08:06:07 -- # 2900000 sequences processed
2016/9/28 08:06:07 -- # 3000000 sequences processed
2016/9/28 08:06:08 -- # 3100000 sequences processed
2016/9/28 08:06:09 -- # 3200000 sequences processed
2016/9/28 08:06:09 -- # 3300000 sequences processed
2016/9/28 08:06:09 -- # 3400000 sequences processed
2016/9/28 08:06:09 -- # 3500000 sequences processed
2016/9/28 08:06:09 -- # 3600000 sequences processed
2016/9/28 08:06:09 -- # 3700000 sequences processed
2016/9/28 08:06:09 -- # 3800000 sequences processed
2016/9/28 08:06:09 -- # 3900000 sequences processed
2016/9/28 08:06:10 -- # 4000000 sequences processed
2016/9/28 08:06:11 -- # 4100000 sequences processed
2016/9/28 08:06:11 -- # 4200000 sequences processed
2016/9/28 08:06:11 -- # 4300000 sequences processed
2016/9/28 08:06:11 -- # 4400000 sequences processed
2016/9/28 08:06:11 -- # 4500000 sequences processed
2016/9/28 08:06:11 -- # 4600000 sequences processed
2016/9/28 08:06:11 -- # 4700000 sequences processed
2016/9/28 08:06:12 -- # 4800000 sequences processed
2016/9/28 08:06:12 -- # 4900000 sequences processed
2016/9/28 08:06:12 -- # 5000000 sequences processed
2016/9/28 08:06:12 -- # 5100000 sequences processed
2016/9/28 08:06:12 -- # 5200000 sequences processed
2016/9/28 08:06:13 -- # 5300000 sequences processed
2016/9/28 08:06:13 -- # 5400000 sequences processed
2016/9/28 08:06:13 -- # 5500000 sequences processed
2016/9/28 08:06:13 -- # 5600000 sequences processed
2016/9/28 08:06:13 -- # 5700000 sequences processed
2016/9/28 08:06:13 -- # 5800000 sequences processed
2016/9/28 08:06:13 -- # 5900000 sequences processed
2016/9/28 08:06:13 -- # 6000000 sequences processed
2016/9/28 08:06:13 -- # 6100000 sequences processed
2016/9/28 08:06:14 -- # 6200000 sequences processed
2016/9/28 08:06:14 -- # 6300000 sequences processed
2016/9/28 08:06:14 -- # 6400000 sequences processed
2016/9/28 08:06:16 -- # 6500000 sequences processed
2016/9/28 08:06:16 -- # 6600000 sequences processed
2016/9/28 08:06:16 -- # 6700000 sequences processed
2016/9/28 08:06:16 -- # 6800000 sequences processed
2016/9/28 08:06:16 -- # 6900000 sequences processed
2016/9/28 08:06:16 -- # 7000000 sequences processed
2016/9/28 08:06:16 -- # 7100000 sequences processed
2016/9/28 08:06:16 -- # 7200000 sequences processed
2016/9/28 08:06:16 -- # 7300000 sequences processed
2016/9/28 08:06:17 -- # 7400000 sequences processed
2016/9/28 08:06:17 -- # 7500000 sequences processed
2016/9/28 08:06:17 -- # 7600000 sequences processed
2016/9/28 08:06:17 -- # 7700000 sequences processed
2016/9/28 08:06:17 -- # 7800000 sequences processed
2016/9/28 08:06:18 -- # 7900000 sequences processed
2016/9/28 08:06:18 -- # 8000000 sequences processed
2016/9/28 08:06:18 -- # 8100000 sequences processed
2016/9/28 08:06:18 -- # 8200000 sequences processed
2016/9/28 08:06:18 -- # 8300000 sequences processed
2016/9/28 08:06:18 -- # 8400000 sequences processed
2016/9/28 08:06:18 -- # 8500000 sequences processed
2016/9/28 08:06:19 -- # 8600000 sequences processed
2016/9/28 08:06:19 -- # 8700000 sequences processed
2016/9/28 08:06:19 -- # 8800000 sequences processed
2016/9/28 08:06:19 -- # 8900000 sequences processed
2016/9/28 08:06:19 -- # 9000000 sequences processed
2016/9/28 08:06:19 -- # 9100000 sequences processed
2016/9/28 08:06:19 -- # 9200000 sequences processed
2016/9/28 08:06:19 -- # 9300000 sequences processed
2016/9/28 08:06:19 -- # 9400000 sequences processed
2016/9/28 08:06:19 -- # 9500000 sequences processed
2016/9/28 08:06:19 -- # 9600000 sequences processed
2016/9/28 08:06:19 -- # 9700000 sequences processed
2016/9/28 08:06:19 -- # 9800000 sequences processed
