;architecture;mapper;dataset;policy;threads;counter;mean;std
0;batcat;gem;GCAT;interleave;8;seconds;190.6103805801;21.55300811147537
1;batcat;gem;GCAT;interleave;16;seconds;201.4000083537;128.30959786306818
2;batcat;gem;GCAT;interleave;32;seconds;94.9774240234;23.77141122071112
3;batcat;gem;GCAT;interleave;48;seconds;34.5485381423;0.6179304516690304
4;batcat;gem;GCAT;interleave;64;seconds;30.1798206692;0.8215132061145546
5;batcat;gem;GCAT;localalloc;8;seconds;217.2446129942;69.96189975748769
6;batcat;gem;GCAT;localalloc;16;seconds;223.38415898779994;103.64578302036506
7;batcat;gem;GCAT;localalloc;32;seconds;232.0126915923999;328.31853074561445
8;batcat;gem;GCAT;localalloc;48;seconds;87.39376560040002;28.733410176045485
9;batcat;gem;GCAT;localalloc;64;seconds;162.0811217806;151.95601693355906
10;batcat;gem;GCAT;scalability;8;seconds;156.2898097288;49.85905218695929
11;batcat;gem;GCAT;scalability;16;seconds;121.8122554524;29.758752895408218
12;batcat;gem;GCAT;scalability;32;seconds;275.9430715037;452.4248162549157
13;batcat;gem;GCAT;scalability;48;seconds;115.1346100663;56.96987373722271
14;batcat;gem;GCAT;scalability;64;seconds;286.47299554130007;583.0635135406038
