;architecture;mapper;dataset;policy;threads;counter;mean;std
0;batcat;mem;GCAT;interleave;8;seconds;1225.2029256566002;2.7765285856341277
1;batcat;mem;GCAT;interleave;16;seconds;655.8368678343999;5.88338855546179
2;batcat;mem;GCAT;interleave;32;seconds;377.1591903329;1.5728844764604664
3;batcat;mem;GCAT;interleave;48;seconds;276.51788338619997;1.1154296130703
4;batcat;mem;GCAT;interleave;64;seconds;234.22867514610002;0.94408249404663
5;batcat;mem;GCAT;localalloc;8;seconds;1224.5557626647;1.9609561140815557
6;batcat;mem;GCAT;localalloc;16;seconds;658.1495500829;3.9794315244162646
7;batcat;mem;GCAT;localalloc;32;seconds;479.4313434032;71.4117103454196
8;batcat;mem;GCAT;localalloc;48;seconds;721.5571160539;353.3639603687273
9;batcat;mem;GCAT;localalloc;64;seconds;367.7329752376;2.4762779488942437
10;batcat;mem;GCAT;scalability;8;seconds;1223.4034644233002;112.83869311636151
11;batcat;mem;GCAT;scalability;16;seconds;619.0314923122;2.4958148941070584
12;batcat;mem;GCAT;scalability;32;seconds;381.97693966019995;5.506682135794751
13;batcat;mem;GCAT;scalability;48;seconds;374.6812085294;34.64535303305288
14;batcat;mem;GCAT;scalability;64;seconds;376.3214841219;8.293540108216451
