;architecture;mapper;dataset;policy;threads;counter;mean;std
0;batcat;snap;GCAT;interleave;8;seconds;611.8395204729001;188.7114587602212
1;batcat;snap;GCAT;interleave;16;seconds;577.3393125160001;140.99201747046064
2;batcat;snap;GCAT;interleave;32;seconds;290.1195240312;111.74175092716543
3;batcat;snap;GCAT;interleave;48;seconds;112.98623591890001;25.857639421813932
4;batcat;snap;GCAT;interleave;64;seconds;81.34540877960002;5.930766097626966
5;batcat;snap;GCAT;localalloc;8;seconds;641.4593704427;159.47338677271588
6;batcat;snap;GCAT;localalloc;16;seconds;757.7281769108001;307.4948540522768
7;batcat;snap;GCAT;localalloc;32;seconds;504.55554397709994;291.6920064938596
8;batcat;snap;GCAT;localalloc;48;seconds;516.6920206947;369.91922446296525
9;batcat;snap;GCAT;localalloc;64;seconds;618.6649121741;411.16167042725516
10;batcat;snap;GCAT;scalability;8;seconds;531.2129777132001;70.6357226383691
11;batcat;snap;GCAT;scalability;16;seconds;458.9500563905;169.3869318953719
12;batcat;snap;GCAT;scalability;32;seconds;552.3139007259;281.4142493737366
13;batcat;snap;GCAT;scalability;48;seconds;501.8603097296;393.4650338122303
14;batcat;snap;GCAT;scalability;64;seconds;434.6778513486999;250.33193780273714
