;architecture;mapper;dataset;policy;threads;mean;std;counter
0;batcat;bowtie2;na12878;interleave;8;749.8847336;4.413755534;seconds
1;batcat;bowtie2;na12878;interleave;16;455.8141133;7.294360775;seconds
2;batcat;bowtie2;na12878;interleave;32;326.2485728;16.0822537;seconds
3;batcat;bowtie2;na12878;interleave;48;383.8519838;30.03487688;seconds
4;batcat;bowtie2;na12878;interleave;64;480.4738265;60.04690439;seconds
5;batcat;bowtie2;na12878;localalloc;8;752.2752646;4.322474209;seconds
6;batcat;bowtie2;na12878;localalloc;16;480.9448823;31.13922645;seconds
7;batcat;bowtie2;na12878;localalloc;32;573.0035544;399.6064423;seconds
8;batcat;bowtie2;na12878;localalloc;48;369.6437006;53.97480912;seconds
9;batcat;bowtie2;na12878;localalloc;64;520.6395051;61.52397774;seconds
10;batcat;bowtie2;na12878;scalability;8;620.3676827;4.956777011;seconds
11;batcat;bowtie2;na12878;scalability;16;339.2101837;9.389300683;seconds
12;batcat;bowtie2;na12878;scalability;32;260.7526873;41.01022843;seconds
13;batcat;bowtie2;na12878;scalability;48;385.4724732;71.38908788;seconds
14;batcat;bowtie2;na12878;scalability;64;529.9205455;55.7203391;seconds
