;architecture;mapper;dataset;policy;threads;mean;std;counter
0;batcat;gem;na12878;interleave;8;385.8094176;204.3074672;seconds
1;batcat;gem;na12878;interleave;16;467.8478663;327.251912;seconds
2;batcat;gem;na12878;interleave;32;176.0559078;38.64332974;seconds
3;batcat;gem;na12878;interleave;48;83.21056784;31.13802482;seconds
4;batcat;gem;na12878;interleave;64;43.0671012;2.298750748;seconds
5;batcat;gem;na12878;localalloc;8;359.7313396;199.5793017;seconds
6;batcat;gem;na12878;localalloc;16;297.829321;106.5414002;seconds
7;batcat;gem;na12878;localalloc;32;316.5119779;398.7041648;seconds
8;batcat;gem;na12878;localalloc;48;195.3936995;125.1668488;seconds
9;batcat;gem;na12878;localalloc;64;300.4970455;387.1038232;seconds
10;batcat;gem;na12878;scalability;8;266.1226875;46.38578232;seconds
11;batcat;gem;na12878;scalability;16;179.5924129;47.03744933;seconds
12;batcat;gem;na12878;scalability;32;196.5822999;270.3591187;seconds
13;batcat;gem;na12878;scalability;48;161.9920827;82.73959045;seconds
14;batcat;gem;na12878;scalability;64;510.7244568;636.1082239;seconds
