;architecture;mapper;dataset;policy;threads;mean;std;counter
0;batcat;mem;na12878;interleave;8;620.0731069;2.028564855;seconds
1;batcat;mem;na12878;interleave;16;346.368997;2.456956673;seconds
2;batcat;mem;na12878;interleave;32;214.6862111;0.559693196;seconds
3;batcat;mem;na12878;interleave;48;164.2397844;2.764335888;seconds
4;batcat;mem;na12878;interleave;64;145.1032045;2.157964414;seconds
5;batcat;mem;na12878;localalloc;8;618.7794176;2.531358349;seconds
6;batcat;mem;na12878;localalloc;16;348.3548141;1.581093216;seconds
7;batcat;mem;na12878;localalloc;32;269.8274065;42.58968348;seconds
8;batcat;mem;na12878;localalloc;48;264.0667612;41.12422168;seconds
9;batcat;mem;na12878;localalloc;64;253.1337944;6.21233438;seconds
10;batcat;mem;na12878;scalability;8;621.4039172;5.281210464;seconds
11;batcat;mem;na12878;scalability;16;333.7647941;1.116874293;seconds
12;batcat;mem;na12878;scalability;32;234.8889484;1.662620608;seconds
13;batcat;mem;na12878;scalability;48;254.8246955;64.26726816;seconds
14;batcat;mem;na12878;scalability;64;244.9491157;14.74812848;seconds
