;architecture;mapper;dataset;policy;threads;mean;std;counter
0;batcat;snap;na12878;interleave;8;522.6196742;616.3026378;seconds
1;batcat;snap;na12878;interleave;16;700.6307134;278.803075;seconds
2;batcat;snap;na12878;interleave;32;329.4928883;154.3062749;seconds
3;batcat;snap;na12878;interleave;48;127.5125012;68.31399405;seconds
4;batcat;snap;na12878;interleave;64;127.2385144;174.2740538;seconds
5;batcat;snap;na12878;localalloc;8;675.3576666;549.1851611;seconds
6;batcat;snap;na12878;localalloc;16;1094.563419;801.3647413;seconds
7;batcat;snap;na12878;localalloc;32;691.4469635;465.8851974;seconds
8;batcat;snap;na12878;localalloc;48;756.270537;416.89106;seconds
9;batcat;snap;na12878;localalloc;64;805.5582903;646.4808598;seconds
10;batcat;snap;na12878;scalability;8;359.5902295;208.9962557;seconds
11;batcat;snap;na12878;scalability;16;562.5964177;439.6940477;seconds
12;batcat;snap;na12878;scalability;32;712.8277982;665.5575483;seconds
13;batcat;snap;na12878;scalability;48;488.3533266;273.8972353;seconds
14;batcat;snap;na12878;scalability;64;616.1707807;506.0029446;seconds
