;architecture;mapper;dataset;policy;threads;counter;mean;std
0;penguin;bowtie2;GCAT;interleave;8;seconds;1169.9539110828002;3.0797079897663133
1;penguin;bowtie2;GCAT;interleave;16;seconds;569.0672588116;1.854243357622667
2;penguin;bowtie2;GCAT;interleave;32;seconds;530.6801391833;2.0468318933938296
3;penguin;bowtie2;GCAT;interleave;48;seconds;368.96276648500003;2.7504374887565843
4;penguin;bowtie2;GCAT;interleave;64;seconds;292.53290538990007;1.5880276061899055
5;penguin;bowtie2;GCAT;localalloc;8;seconds;1174.4990358871999;5.939824379079204
6;penguin;bowtie2;GCAT;localalloc;16;seconds;563.7642179456;9.694540482029872
7;penguin;bowtie2;GCAT;localalloc;32;seconds;501.55031662519997;6.808512935689752
8;penguin;bowtie2;GCAT;localalloc;48;seconds;344.19466660719996;4.323024045544841
9;penguin;bowtie2;GCAT;localalloc;64;seconds;282.028436918;3.103394973045788
10;penguin;bowtie2;GCAT;scalability;8;seconds;915.0661974374001;0.8831052868862005
11;penguin;bowtie2;GCAT;scalability;16;seconds;495.40471886919994;3.0914311546034168
12;penguin;bowtie2;GCAT;scalability;32;seconds;303.09380955489996;5.11561083486448
13;penguin;bowtie2;GCAT;scalability;48;seconds;296.5844083924;3.369047026294543
14;penguin;bowtie2;GCAT;scalability;64;seconds;292.1195923239;2.5123545879615206
