;architecture;mapper;dataset;policy;threads;mean;std;counter
0;penguin;gem;GCAT;interleave;8;115.8302363;17.73530897;seconds
1;penguin;gem;GCAT;interleave;16;69.4084559;0.665178437;seconds
2;penguin;gem;GCAT;interleave;32;53.663653;1.082237964;seconds
3;penguin;gem;GCAT;interleave;48;42.08127595;1.145816673;seconds
4;penguin;gem;GCAT;interleave;64;37.72316218;1.115869485;seconds
5;penguin;gem;GCAT;localalloc;8;113.7277654;22.99665869;seconds
6;penguin;gem;GCAT;localalloc;16;70.22530537;5.633051412;seconds
7;penguin;gem;GCAT;localalloc;32;91.90237929;101.0896618;seconds
8;penguin;gem;GCAT;localalloc;48;131.9327066;196.790449;seconds
9;penguin;gem;GCAT;localalloc;64;58.01984239;43.27923691;seconds
10;penguin;gem;GCAT;scalability;8;111.1379621;6.947978624;seconds
11;penguin;gem;GCAT;scalability;16;79.29751139;46.44843189;seconds
12;penguin;gem;GCAT;scalability;32;60.77371188;50.87251453;seconds
13;penguin;gem;GCAT;scalability;48;41.55715894;8.381904834;seconds
14;penguin;gem;GCAT;scalability;64;120.4156338;121.8537511;seconds
