;architecture;mapper;dataset;policy;threads;mean;std;counter
0;penguin;mem;GCAT;interleave;8;1175.515813;5.605735275;seconds
1;penguin;mem;GCAT;interleave;16;691.0268661;8.489814776;seconds
2;penguin;mem;GCAT;interleave;32;521.1948207;1.821426749;seconds
3;penguin;mem;GCAT;interleave;48;380.0873086;1.021327703;seconds
4;penguin;mem;GCAT;interleave;64;368.9068956;3.779494003;seconds
5;penguin;mem;GCAT;localalloc;8;1181.798352;3.732014444;seconds
6;penguin;mem;GCAT;localalloc;16;703.4205678;19.0417347;seconds
7;penguin;mem;GCAT;localalloc;32;550.5885036;15.66331659;seconds
8;penguin;mem;GCAT;localalloc;48;417.5533836;13.27194026;seconds
9;penguin;mem;GCAT;localalloc;64;384.5056629;8.645893743;seconds
10;penguin;mem;GCAT;scalability;8;1242.251171;102.2002957;seconds
11;penguin;mem;GCAT;scalability;16;651.2866526;3.117799709;seconds
12;penguin;mem;GCAT;scalability;32;393.6636554;1.304735875;seconds
13;penguin;mem;GCAT;scalability;48;350.8543323;13.16144853;seconds
14;penguin;mem;GCAT;scalability;64;387.1748912;6.19460765;seconds
