;architecture;mapper;dataset;policy;threads;mean;std;counter
0;penguin;snap;GCAT;interleave;8;679.1242071;305.8083778;seconds
1;penguin;snap;GCAT;interleave;16;331.941948;26.95970419;seconds
2;penguin;snap;GCAT;interleave;32;122.8496095;12.80627689;seconds
3;penguin;snap;GCAT;interleave;48;111.7371897;16.56633047;seconds
4;penguin;snap;GCAT;interleave;64;93.25305981;0.781266418;seconds
5;penguin;snap;GCAT;localalloc;8;504.7273817;156.7873138;seconds
6;penguin;snap;GCAT;localalloc;16;292.2923785;32.80679525;seconds
7;penguin;snap;GCAT;localalloc;32;312.1336456;286.0694694;seconds
8;penguin;snap;GCAT;localalloc;48;199.7464431;61.51820649;seconds
9;penguin;snap;GCAT;localalloc;64;163.7973725;54.78742428;seconds
10;penguin;snap;GCAT;scalability;8;456.7285357;62.56927927;seconds
11;penguin;snap;GCAT;scalability;16;355.8996769;110.2284322;seconds
12;penguin;snap;GCAT;scalability;32;301.8459487;150.7339708;seconds
13;penguin;snap;GCAT;scalability;48;168.3766763;36.01145321;seconds
14;penguin;snap;GCAT;scalability;64;344.0388619;193.3930293;seconds
