;architecture;mapper;dataset;policy;threads;mean;std;counter
0;penguin;bowtie2;na12878;interleave;8;721.5059222;2.946989769;seconds
1;penguin;bowtie2;na12878;interleave;16;403.0347538;4.049227968;seconds
2;penguin;bowtie2;na12878;interleave;32;350.9760024;4.044630546;seconds
3;penguin;bowtie2;na12878;interleave;48;293.0535333;5.618547749;seconds
4;penguin;bowtie2;na12878;interleave;64;400.7734394;6.418689833;seconds
5;penguin;bowtie2;na12878;localalloc;8;722.6237224;1.939046634;seconds
6;penguin;bowtie2;na12878;localalloc;16;403.9918903;13.8689338;seconds
7;penguin;bowtie2;na12878;localalloc;32;347.5875673;7.574101831;seconds
8;penguin;bowtie2;na12878;localalloc;48;279.8614906;4.426095865;seconds
9;penguin;bowtie2;na12878;localalloc;64;402.5092979;7.025263359;seconds
10;penguin;bowtie2;na12878;scalability;8;666.2169098;3.951791367;seconds
11;penguin;bowtie2;na12878;scalability;16;373.4293416;6.954837604;seconds
12;penguin;bowtie2;na12878;scalability;32;252.6777615;12.84209329;seconds
13;penguin;bowtie2;na12878;scalability;48;275.1521748;7.458399704;seconds
14;penguin;bowtie2;na12878;scalability;64;417.4709229;7.370937163;seconds
