;architecture;mapper;dataset;policy;threads;mean;std;counter
0;penguin;gem;na12878;interleave;8;209.8657432;40.26368552;seconds
1;penguin;gem;na12878;interleave;16;137.7095519;23.26289344;seconds
2;penguin;gem;na12878;interleave;32;78.20756536;1.894625028;seconds
3;penguin;gem;na12878;interleave;48;61.22922469;6.007447331;seconds
4;penguin;gem;na12878;interleave;64;53.01932683;3.52909581;seconds
5;penguin;gem;na12878;localalloc;8;157.8205687;7.931903934;seconds
6;penguin;gem;na12878;localalloc;16;105.6479409;10.37716693;seconds
7;penguin;gem;na12878;localalloc;32;111.8654308;49.15345488;seconds
8;penguin;gem;na12878;localalloc;48;433.834068;585.202337;seconds
9;penguin;gem;na12878;localalloc;64;325.36023;512.9815193;seconds
10;penguin;gem;na12878;scalability;8;166.9389855;0.51911147;seconds
11;penguin;gem;na12878;scalability;16;102.0558197;21.84306608;seconds
12;penguin;gem;na12878;scalability;32;147.0359209;166.1761271;seconds
13;penguin;gem;na12878;scalability;48;175.4083868;202.6564254;seconds
14;penguin;gem;na12878;scalability;64;154.6589942;176.9919363;seconds
