;architecture;mapper;dataset;policy;threads;mean;std;counter
0;penguin;mem;na12878;interleave;8;591.4360541;7.175936149;seconds
1;penguin;mem;na12878;interleave;16;385.3469861;2.510377358;seconds
2;penguin;mem;na12878;interleave;32;293.9247294;1.978038782;seconds
3;penguin;mem;na12878;interleave;48;234.6719236;1.79169101;seconds
4;penguin;mem;na12878;interleave;64;207.7549385;2.585922259;seconds
5;penguin;mem;na12878;localalloc;8;598.6848814;2.35910325;seconds
6;penguin;mem;na12878;localalloc;16;391.2598266;12.68947106;seconds
7;penguin;mem;na12878;localalloc;32;309.1449763;8.350704049;seconds
8;penguin;mem;na12878;localalloc;48;265.3670272;10.91386736;seconds
9;penguin;mem;na12878;localalloc;64;263.351773;28.58589517;seconds
10;penguin;mem;na12878;scalability;8;671.2628754;1.65769152;seconds
11;penguin;mem;na12878;scalability;16;368.4841278;4.040115234;seconds
12;penguin;mem;na12878;scalability;32;234.0712217;3.197716003;seconds
13;penguin;mem;na12878;scalability;48;239.9656354;60.25372777;seconds
14;penguin;mem;na12878;scalability;64;260.2041972;26.13021641;seconds
