;architecture;mapper;dataset;policy;threads;mean;std;counter
0;penguin;snap;na12878;interleave;8;451.8669194;386.9120352;seconds
1;penguin;snap;na12878;interleave;16;255.5196887;57.41472213;seconds
2;penguin;snap;na12878;interleave;32;199.8600582;117.6124179;seconds
3;penguin;snap;na12878;interleave;48;102.1344572;37.08159699;seconds
4;penguin;snap;na12878;interleave;64;77.62345532;7.369356886;seconds
5;penguin;snap;na12878;localalloc;8;303.4506121;129.6084061;seconds
6;penguin;snap;na12878;localalloc;16;287.534807;146.5730138;seconds
7;penguin;snap;na12878;localalloc;32;299.4550699;244.9965008;seconds
8;penguin;snap;na12878;localalloc;48;339.2140429;209.5191957;seconds
9;penguin;snap;na12878;localalloc;64;284.4316617;367.6266452;seconds
10;penguin;snap;na12878;scalability;8;238.91095;159.9211223;seconds
11;penguin;snap;na12878;scalability;16;226.7746837;190.5916222;seconds
12;penguin;snap;na12878;scalability;32;172.9426609;63.81973858;seconds
13;penguin;snap;na12878;scalability;48;266.62441;155.0730417;seconds
14;penguin;snap;na12878;scalability;64;209.9508582;118.6376314;seconds
