mkdir: cannot create directory `/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave': File exists
> Benchmarks for GEM3 : NIST7086_CGTACTAG_L002_R2_001
batman
#################################################################
# Warm up - 64 threads - T1
#################################################################
WarmUp.2593074.GEM-Interleave.batman.t64
2016/9/17 17:44:33 -- [Opening input file '/tmp/data/datasets/NIST7086_CGTACTAG_L002_R2_001.fastq']
2016/9/17 17:44:33 -- [Outputting to '/scratch/077-hpca4se-bioinf/jlenis/results/GEM-Interleave/WarmUp.2593074.GEM-Interleave.batman.t64.sam']
2016/9/17 17:44:33 -- [Loading GEM index '/tmp/data/indexes/HG_index_GEM/index.gem']
2016/9/17 17:45:37 -- [SE::Mapping Sequences]
2016/9/17 17:46:03 -- # 100000 sequences processed
2016/9/17 17:46:03 -- # 200000 sequences processed
2016/9/17 17:46:04 -- # 300000 sequences processed
2016/9/17 17:46:04 -- # 400000 sequences processed
2016/9/17 17:46:04 -- # 500000 sequences processed
2016/9/17 17:46:04 -- # 600000 sequences processed
2016/9/17 17:46:04 -- # 700000 sequences processed
2016/9/17 17:46:04 -- # 800000 sequences processed
2016/9/17 17:46:04 -- # 900000 sequences processed
2016/9/17 17:46:04 -- # 1000000 sequences processed
2016/9/17 17:46:04 -- # 1100000 sequences processed
2016/9/17 17:46:04 -- # 1200000 sequences processed
2016/9/17 17:46:04 -- # 1300000 sequences processed
2016/9/17 17:46:04 -- # 1400000 sequences processed
2016/9/17 17:46:04 -- # 1500000 sequences processed
2016/9/17 17:46:04 -- # 1600000 sequences processed
2016/9/17 17:46:04 -- # 1700000 sequences processed
2016/9/17 17:46:04 -- # 1800000 sequences processed
2016/9/17 17:46:04 -- # 1900000 sequences processed
2016/9/17 17:46:05 -- # 2000000 sequences processed
2016/9/17 17:46:05 -- # 2100000 sequences processed
2016/9/17 17:46:05 -- # 2200000 sequences processed
2016/9/17 17:46:05 -- # 2300000 sequences processed
2016/9/17 17:46:05 -- # 2400000 sequences processed
2016/9/17 17:46:07 -- # 2500000 sequences processed
2016/9/17 17:46:07 -- # 2600000 sequences processed
2016/9/17 17:46:07 -- # 2700000 sequences processed
2016/9/17 17:46:07 -- # 2800000 sequences processed
2016/9/17 17:46:07 -- # 2900000 sequences processed
2016/9/17 17:46:07 -- # 3000000 sequences processed
2016/9/17 17:46:07 -- # 3100000 sequences processed
2016/9/17 17:46:08 -- # 3200000 sequences processed
2016/9/17 17:46:08 -- # 3300000 sequences processed
2016/9/17 17:46:08 -- # 3400000 sequences processed
2016/9/17 17:46:08 -- # 3500000 sequences processed
2016/9/17 17:46:08 -- # 3600000 sequences processed
2016/9/17 17:46:08 -- # 3700000 sequences processed
2016/9/17 17:46:08 -- # 3800000 sequences processed
2016/9/17 17:46:08 -- # 3900000 sequences processed
2016/9/17 17:46:08 -- # 4000000 sequences processed
2016/9/17 17:46:08 -- # 4100000 sequences processed
2016/9/17 17:46:08 -- # 4200000 sequences processed
2016/9/17 17:46:08 -- # 4300000 sequences processed
2016/9/17 17:46:08 -- # 4400000 sequences processed
2016/9/17 17:46:08 -- # 4500000 sequences processed
2016/9/17 17:46:08 -- # 4600000 sequences processed
2016/9/17 17:46:08 -- # 4700000 sequences processed
2016/9/17 17:46:08 -- # 4800000 sequences processed
2016/9/17 17:46:08 -- # 4900000 sequences processed
2016/9/17 17:46:08 -- # 5000000 sequences processed
2016/9/17 17:46:08 -- # 5100000 sequences processed
2016/9/17 17:46:08 -- # 5200000 sequences processed
2016/9/17 17:46:08 -- # 5300000 sequences processed
2016/9/17 17:46:08 -- # 5400000 sequences processed
